iter	Passed	Remaining
0	2	2137
1	4	2335
2	6	2096
3	7	1961
4	9	1840
5	10	1742
6	11	1696
7	13	1622
8	14	1577
9	19	1903
10	20	1836
11	21	1806
12	23	1749
13	24	1712
14	25	1669
15	26	1634
16	27	1599
17	28	1571
18	30	1549
19	31	1531
20	32	1514
21	33	1500
22	37	1609
23	40	1634
24	41	1625
25	43	1622
26	44	1610
27	46	1598
28	47	1592
29	48	1583
30	50	1567
31	51	1557
32	52	1541
33	56	1618
34	58	1603
35	59	1592
36	60	1574
37	61	1558
38	62	1542
39	63	1526
40	64	1512
41	106	2422
42	107	2394
43	109	2372
44	110	2350
45	112	2325
46	113	2299
47	118	2347
48	119	2324
49	121	2301
50	122	2278
51	124	2273
52	126	2252
53	127	2231
54	128	2211
55	129	2191
56	131	2171
57	132	2152
58	137	2185
59	138	2168
60	139	2152
61	141	2136
62	163	2431
63	164	2411
64	166	2391
65	167	2370
66	168	2350
67	170	2331
68	171	2314
69	173	2299
70	182	2386
71	183	2370
72	185	2353
73	186	2335
74	187	2318
75	189	2300
76	191	2296
77	192	2280
78	197	2306
79	199	2292
80	201	2288
81	203	2272
82	203	2248
83	238	2602
84	241	2595
85	243	2583
86	258	2717
87	261	2705
88	262	2687
89	264	2671
90	265	2654
91	267	2637
92	269	2629
93	271	2613
94	272	2595
95	273	2578
96	275	2561
97	276	2545
98	277	2528
99	279	2512
100	283	2519
101	284	2505
102	285	2489
103	287	2474
104	288	2459
105	289	2445
106	291	2432
107	292	2419
108	294	2406
109	295	2394
110	307	2461
111	309	2449
112	314	2471
113	317	2464
114	323	2488
115	325	2476
116	326	2461
117	327	2450
118	329	2440
119	331	2430
120	333	2419
121	334	2405
122	336	2398
123	342	2420
124	344	2408
125	345	2398
126	346	2385
127	350	2388
128	352	2378
129	353	2366
130	354	2353
131	355	2340
132	361	2358
133	363	2347
134	365	2339
135	367	2334
136	369	2326
137	370	2314
138	371	2302
139	372	2290
140	374	2279
141	374	2264
142	378	2269
143	380	2261
144	381	2251
145	383	2242
146	384	2232
147	386	2223
148	387	2214
149	389	2208
150	390	2197
151	392	2187
152	393	2177
153	394	2167
154	398	2172
155	400	2164
156	401	2156
157	404	2153
158	405	2144
159	407	2136
160	408	2129
161	410	2121
162	411	2111
163	412	2102
164	413	2093
165	418	2103
166	419	2094
167	421	2086
168	422	2079
169	424	2072
170	425	2063
171	427	2058
172	429	2051
173	430	2043
174	431	2034
175	432	2026
176	436	2030
177	437	2022
178	439	2013
179	440	2006
180	442	2001
181	443	1995
182	445	1989
183	446	1981
184	448	1974
185	449	1966
186	450	1958
187	451	1950
188	456	1957
189	457	1950
190	458	1942
191	459	1935
192	461	1927
193	462	1920
194	463	1914
195	464	1907
196	466	1899
197	467	1892
198	468	1885
199	469	1879
200	474	1885
201	475	1878
202	477	1873
203	478	1865
204	479	1859
205	480	1852
206	481	1845
207	483	1840
208	484	1834
209	487	1833
210	489	1828
211	494	1836
212	496	1832
213	497	1828
214	499	1823
215	501	1818
216	502	1814
217	505	1814
218	507	1808
219	508	1802
220	513	1811
221	515	1806
222	517	1801
223	518	1797
224	520	1792
225	523	1791
226	524	1786
227	525	1780
228	527	1775
229	528	1769
230	531	1768
231	532	1763
232	534	1759
233	535	1754
234	537	1749
235	539	1746
236	540	1740
237	541	1734
238	542	1728
239	543	1722
240	544	1715
241	550	1723
242	551	1718
243	553	1714
244	554	1709
245	557	1709
246	559	1704
247	560	1698
248	561	1692
249	562	1686
250	563	1680
251	564	1674
252	568	1679
253	570	1674
254	571	1669
255	573	1665
256	575	1663
257	577	1661
258	578	1655
259	579	1650
260	582	1648
261	583	1644
262	585	1640
263	586	1635
264	587	1630
265	588	1625
266	590	1619
267	595	1627
268	597	1623
269	598	1619
270	600	1614
271	601	1610
272	603	1606
273	604	1602
274	607	1600
275	608	1596
276	613	1600
277	614	1596
278	616	1591
279	618	1589
280	619	1585
281	621	1582
282	622	1577
283	623	1572
284	624	1567
285	626	1563
286	627	1559
287	631	1562
288	633	1558
289	634	1554
290	636	1550
291	637	1546
292	644	1556
293	646	1552
294	648	1548
295	653	1554
296	655	1550
297	656	1546
298	657	1541
299	658	1537
300	660	1533
301	661	1529
302	662	1524
303	664	1520
304	665	1516
305	666	1512
306	672	1517
307	673	1514
308	675	1509
309	676	1505
310	678	1502
311	679	1498
312	680	1494
313	682	1490
314	683	1486
315	685	1482
316	690	1488
317	692	1485
318	694	1482
319	696	1480
320	698	1476
321	699	1472
322	701	1469
323	702	1465
324	703	1461
325	705	1457
326	707	1455
327	708	1451
328	709	1447
329	711	1443
330	712	1439
331	713	1435
332	714	1432
333	716	1428
334	717	1424
335	718	1420
336	720	1416
337	721	1412
338	725	1413
339	726	1410
340	727	1406
341	728	1402
342	730	1398
343	731	1394
344	732	1391
345	733	1387
346	735	1383
347	736	1379
348	737	1375
349	738	1371
350	739	1367
351	740	1363
352	742	1360
353	743	1356
354	744	1353
355	746	1349
356	747	1346
357	748	1342
358	749	1338
359	751	1335
360	752	1331
361	753	1328
362	755	1325
363	756	1321
364	760	1323
365	762	1320
366	763	1317
367	765	1314
368	766	1311
369	769	1309
370	770	1306
371	771	1302
372	773	1299
373	774	1296
374	775	1292
375	780	1294
376	781	1291
377	782	1287
378	783	1283
379	784	1279
380	785	1276
381	786	1272
382	787	1269
383	788	1265
384	790	1261
385	791	1258
386	792	1254
387	793	1251
388	794	1248
389	799	1250
390	800	1247
391	802	1244
392	803	1240
393	804	1237
394	805	1233
395	806	1230
396	807	1226
397	808	1223
398	809	1220
399	811	1216
400	812	1213
401	813	1209
402	817	1211
403	819	1208
404	820	1205
405	821	1201
406	822	1198
407	824	1195
408	825	1192
409	826	1188
410	827	1185
411	828	1182
412	829	1179
413	830	1175
414	832	1172
415	836	1174
416	837	1171
417	839	1168
418	840	1165
419	841	1162
420	843	1159
421	844	1156
422	845	1152
423	846	1149
424	847	1145
425	848	1142
426	849	1139
427	850	1136
428	851	1133
429	853	1131
430	855	1128
431	857	1127
432	858	1124
433	860	1121
434	861	1119
435	863	1116
436	864	1113
437	865	1110
438	866	1107
439	867	1104
440	872	1105
441	873	1102
442	874	1099
443	876	1097
444	877	1094
445	878	1091
446	879	1087
447	880	1084
448	881	1081
449	882	1078
450	883	1075
451	884	1072
452	885	1069
453	887	1067
454	893	1069
455	894	1067
456	895	1064
457	896	1061
458	898	1058
459	899	1055
460	900	1053
461	901	1050
462	902	1047
463	903	1044
464	905	1041
465	906	1038
466	910	1038
467	911	1036
468	912	1033
469	913	1030
470	914	1027
471	915	1024
472	917	1021
473	918	1018
474	919	1015
475	920	1013
476	921	1010
477	922	1007
478	923	1004
479	924	1001
480	928	1001
481	929	999
482	930	996
483	932	993
484	933	991
485	934	988
486	935	985
487	936	983
488	938	980
489	939	977
490	940	974
491	941	972
492	942	969
493	943	966
494	949	968
495	950	966
496	952	963
497	953	961
498	955	959
499	960	960
500	962	958
501	963	956
502	968	956
503	969	953
504	970	951
505	971	948
506	973	946
507	974	943
508	975	940
509	976	938
510	977	935
511	978	933
512	980	930
513	981	928
514	985	928
515	986	925
516	988	923
517	989	921
518	991	918
519	992	916
520	993	913
521	995	911
522	996	908
523	997	906
524	998	903
525	999	900
526	1000	898
527	1001	895
528	1003	893
529	1005	891
530	1006	889
531	1008	887
532	1009	884
533	1011	882
534	1012	880
535	1014	877
536	1015	875
537	1016	872
538	1017	870
539	1021	869
540	1022	867
541	1024	865
542	1025	862
543	1026	860
544	1027	858
545	1029	855
546	1030	853
547	1031	850
548	1032	847
549	1033	845
550	1034	843
551	1035	840
552	1037	838
553	1038	836
554	1040	833
555	1041	831
556	1042	829
